"code","energy_kcal_100g","sugars_100g","fat_100g","salt_100g","proteins_100g","nutriscore_grade","nutriscore_score","nova_group"
"0646670523465","250",,"6.25","0.7421875","9.375","unknown",,
"8480000093578","458","22","18","0.5","8","d","11","4"
"7894000010021","350",,,,,"c","4","2"
"5900020037046","386.666666666667","3.87","6","0.387","10.6666666666667","a","-3",
"8000430388367","395",,"29","1.5","33","d","14","3"
"5203064008943","457.5","30","22","1.2","6.5","e","26",
"9310043008934","253.403672049575","2.9","5.8","0.4","13.5","a","-2","4"
"8901207036989",,"10",,,,"not-applicable",,
"8720182308078","232","4.2","21","1.2","0.5","unknown",,
"6111184006413","52","10","0.1","2","1.5","d","11","4"
"7898055421511","350",,"10",,"13.3333333333333","a","-5",
"5025125000112","237","2.1","0.7","0.8","9.7","b","1","3"
"0065633158122","396.551724137931","22.4137931034483","6.89655172413793","0.517241379310345","10.3448275862069","c","8","4"
"5022019010202","17","4.2",,,,"unknown",,"3"
"0631656717600","343.75","3.125","1.5625","2.03125","78.125","not-applicable",,
"9510150000016",,"2.3","2.25","1.25",,"unknown",,"4"
