"code","country"
"8853662056661","Australia"
"8886467103407","Australia"
"8886467103421","Australia"
"8886467103438","Australia"
"8886467103445","Australia"
"8901063365964","Australia"
"8901123005403","Australia"
"8994907000022","Australia"
"8996001320051","Australia"
"90162602","Australia"
"90162800","Australia"
"9300462341187","Australia"
"9300462346120","Australia"
"9300462348216","Australia"
"9300462348575","Australia"
"9300601000692","Australia"
"9300601186945","Australia"
"9300601341153","Australia"
"9300601413393","Australia"
"9300605000926","Australia"
"9300605002593","Australia"
"9300605037618","Australia"
"9300605117952","Australia"
"9300605126527","Australia"
"9300605127593","Australia"
"9300605139619","Australia"
"9300605139626","Australia"
"9300605139794","Australia"
"9300605153578","Australia"
"9300605153615","Australia"
"9300605153721","Australia"
"9300605154797","Australia"
"9300605155459","Australia"
"9300605158306","Australia"
"9300613103541","Australia"
"9300617042266","Australia"
"9300617051930","Australia"
"9300617064879","Australia"
"9300617065920","Australia"
"9300617066071","Australia"
"9300624034162","Australia"
"9300633219802","Australia"
"9300633226275","Australia"
"9300633227272","Australia"
"9300633227289","Australia"
"9300633227296","Australia"
"9300633227319","Australia"
"9300633340049","Australia"
"9300633386689","Australia"
"9300633387174","Australia"
"9300633431099","Australia"
"9300633485085","Australia"
"9300633556143","Australia"
"9300633556150","Australia"
"9300633584559","Australia"
"9300633626211","Australia"
"9300633631536","Australia"
"9300633646837","Australia"
"9300633777401","Australia"
"9300633910129","Australia"
"9300633910198","Australia"
"9300633967475","Australia"
"9300639100012","Australia"
"9300639500041","Australia"
"9300639618661","Australia"
"9300641000522","Australia"
"9300641001147","Australia"
"9300645111125","Australia"
"9300650430617","Australia"
"9300650431812","Australia"
"9300650452558","Australia"
"9300650452701","Australia"
"9300652010374","Australia"
"9300652010794","Australia"
"9300652013955","Australia"
"9300652014396","Australia"
"9300652014457","Australia"
"9300652510911","Australia"
"9300652511918","Australia"
"9300652801286","Australia"
"9300652801309","Australia"
"9300652802542","Australia"
"9300652802559","Australia"
"9300652803020","Australia"
"9300652803495","Australia"
"9300652804874","Australia"
"9300652805048","Australia"
"9300652805949","Australia"
"9300652808339","Australia"
"9300652808834","Australia"
"9300652809770","Australia"
"9300652809961","Australia"
"9300652809985","Australia"
"9300652810257","Australia"
"9300652811643","Australia"
"9300652815573","Australia"
"9300657003432","Australia"
"9300657016555","Australia"
"9300657021160","Australia"
"9300657021443","Australia"
"9300657021863","Australia"
"9300657021870","Australia"
"9300657036270","Australia"
"9300657114046","Australia"
"9300657114053","Australia"
"9300657114411","Australia"
"9300657116408","Australia"
"9300657173418","Australia"
"9300657234867","Australia"
"9300657234874","Australia"
"9300657240424","Australia"
"9300657801755","Australia"
"9300658114663","Australia"
"9300658228537","Australia"
"9300658404146","Australia"
"9300658407765","Australia"
"9300658408045","Australia"
"9300660444451","Australia"
"9300662874973","Australia"
"9300662886488","Australia"
"9300665068256","Australia"
"9300675001410","Australia"
"9300675009829","Australia"
"9300675011419","Australia"
"9300675057899","Australia"
"9300675079464","Australia"
"9300675079587","Australia"
"9300675079655","Australia"
"9300675089838","Australia"
"9300677002286","Australia"
"9300677007724","Australia"
"9300677008721","Australia"
"9300682047500","Australia"
"9300682059015","Australia"
"9300695009182","Australia"
"9300698000216","Australia"
"9300698000643","Australia"
"9300698001473","Australia"
"9300830083251","Australia"
"9310006004034","Australia"
"9310012021049","Australia"
"9310012021063","Australia"
"9310012049142","Australia"
"9310012062554","Australia"
"9310012062578","Australia"
"9310015232343","Australia"
"9310015240614","Australia"
"9310015240645","Australia"
"9310015241888","Australia"
"9310015241895","Australia"
"9310015241925","Australia"
"9310015241949","Australia"
"9310015246142","Australia"
"9310015247262","Australia"
"9310015247279","Australia"
"9310015248849","Australia"
"9310015248856","Australia"
"9310015250279","Australia"
"9310015257308","Australia"
"9310015257322","Australia"
"9310023136657","Australia"
"9310023144676","Australia"
"9310023146113","Australia"
"9310034002415","Australia"
"9310034017068","Australia"
"9310036046127","Australia"
"9310036046523","Australia"
